Age,BuildingType,PrimaryPropertyType,NumberofBuildings,NumberofFloors,LargestPropertyUseType,SteamUse(kBtu)_Usage,Electricity(kBtu)_Usage,NaturalGas(kBtu)_Usage,TotalUseTypeNumber,RateParking,RateBuilding,RatePerFloors,RatePerBuildings,log_SiteEnergyUse(kBtu),log_TotalGHGEmissions,log_PropertyGFATotal
25,NonResidential,Office,1.0,5,Office,0,1,0,2,0.1175,0.8825,27621.2,138106.0,15.941577481886839,4.084799149378569,11.835784026020109
43,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,56572.0,56572.0,14.694900762970045,4.223763342972998,10.943287118573286
12,NonResidential,Hospital,1.0,2,Hospital,1,1,0,1,0.0,1.0,112991.0,225982.0,16.838888299648577,6.541203144372571,12.328215054186225
10,NonResidential,Other,1.0,2,Parking,0,1,1,7,0.0,1.0,258203.5,516407.0,17.489360660056118,6.600849611562597,13.154652429701397
16,NonResidential,Office,1.0,11,Office,0,1,1,3,0.0,1.0,28410.1818,312512.0,17.06382956673999,5.227841252743712,12.652401347293337
11,NonResidential,Office,1.0,42,Office,1,1,1,5,0.0,1.0,37926.5238,1592914.0,17.849731178217198,6.178068587631244,14.281076229025384
90,NonResidential,Office,1.0,6,Office,0,1,0,3,0.0,1.0,16286.6667,97720.0,14.722972934335456,2.905807566026004,11.489871758639005
29,NonResidential,Hospital,1.0,7,Hospital,0,1,0,1,0.0,1.0,13500.0,94500.0,15.572148248583861,3.722797672317397,11.456365695436427
11,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,94713.0,94713.0,15.505163286337357,4.561636183964363,11.458617103516884
8,NonResidential,Hospital,1.0,9,Hospital,0,1,1,2,0.3346,0.6654,33655.7778,302902.0,16.506829434487855,4.877637092633392,12.621167901225114
43,NonResidential,Hospital,1.0,19,Hospital,1,1,0,2,0.4889,0.5111,16837.4211,319911.0,16.52804011176997,5.881621778925799,12.675801236956476
116,NonResidential,Office,1.0,6,Office,1,1,1,2,0.0,1.0,34253.5,205521.0,15.912130883259387,5.6470710197387595,12.233308363149417
116,NonResidential,Office,1.0,6,Office,0,1,0,2,0.0,1.0,9450.0,56700.0,14.93586982428378,3.107720775502038,10.945547126244623
91,NonResidential,Office,1.0,4,Office,0,1,1,1,0.0,1.0,18000.0,72000.0,14.819507633616022,3.1978564576441255,11.184435286790631
16,NonResidential,Office,1.0,4,Office,0,1,0,2,0.4964,0.5036,47786.5,191146.0,15.445046250211195,3.5989547465859495,12.160798044520625
8,NonResidential,Office,1.0,14,Office,0,1,1,3,0.0,1.0,25860.4286,362046.0,16.57079937099466,4.770260805853684,12.799529316634315
22,NonResidential,Other,3.0,2,Other,0,1,1,1,0.0,1.0,40668.0,27112.0,16.386999867855952,5.602745930478429,11.306356296558281
15,NonResidential,Office,1.0,23,Office,0,1,0,2,0.0,1.0,23431.8696,538933.0,16.589388636127346,4.724640685964258,13.197348393414053
33,NonResidential,Other,1.0,6,Parking,0,1,0,2,0.7143,0.2857,45997.0,275982.0,15.470601241903946,3.6240742307478206,12.528094548599388
34,NonResidential,Office,1.0,5,Office,0,1,0,1,0.0,1.0,19733.6,98668.0,15.29514702714152,3.4534735262275262,11.49952609300711
9,NonResidential,Office,1.0,1,Office,0,1,1,4,0.1786,0.8214,158931.0,158931.0,15.984759096494468,4.6005595734304086,11.976231716768233
38,NonResidential,Office,1.0,1,Office,0,1,1,1,0.0,1.0,105100.0,105100.0,16.910095139663355,5.882932340284521,11.562677071567636
38,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,50660.0,50660.0,14.794396298578706,4.122283930911342,10.832911662800246
79,NonResidential,Office,1.0,2,Office,0,1,1,1,0.0,1.0,30964.5,61929.0,14.605343108684327,4.038303171338476,11.033759993932106
16,NonResidential,Office,1.0,4,Office,0,1,0,3,0.3331,0.6669,41277.75,165111.0,17.05332930735677,5.18526064425574,12.014379310489211
91,NonResidential,Office,1.0,3,Office,0,1,0,1,0.0,1.0,6855.0,20565.0,13.595254708223639,1.8855533485144158,9.931394505789136
16,NonResidential,Office,1.0,5,Office,0,1,0,2,0.35,0.65,31987.4,159937.0,15.877039306735476,4.021415382199343,11.982541519118438
8,NonResidential,Office,1.0,5,Office,0,1,0,3,0.2542,0.7458,36792.8,183964.0,16.513927844498102,4.649856703610498,12.122500801106195
30,NonResidential,Office,1.0,5,Office,0,1,1,2,0.3787,0.6213,41642.0,208210.0,15.522856998841945,4.768478803600115,12.24630726758099
30,NonResidential,Office,1.0,7,Office,0,1,0,3,0.2893,0.7107,39640.8571,277486.0,16.35946089427429,4.496916600547837,12.533529364224432
23,NonResidential,Office,1.0,3,Office,0,1,0,6,0.0,1.0,62376.6667,187130.0,16.123430395868873,4.263946679941392,12.139564185336143
16,NonResidential,Office,1.0,5,Office,0,1,0,2,0.4695,0.5305,50208.8,251044.0,16.659642023004242,4.7942190635314725,12.433387484913194
104,NonResidential,Warehouse,1.0,5,Warehouse,0,1,0,1,0.0,1.0,30866.0,154330.0,14.048395507415643,2.2823823856765264,11.946854925495474
98,NonResidential,Office,1.0,6,Office,1,1,0,6,0.1357,0.8643,18040.8333,108245.0,15.3229559433608,3.9351534228170006,11.592161693680858
111,NonResidential,Office,1.0,6,Office,0,1,0,3,0.0,1.0,27976.6667,167860.0,15.732087227962296,3.8792931808052273,12.03089153496448
106,NonResidential,Office,1.0,6,Office,0,1,1,2,0.0,1.0,18760.0,112560.0,15.41425135977459,4.593300013417604,11.631250575899482
106,NonResidential,Retail,1.0,6,Other,0,1,1,1,0.0,1.0,14367.3333,86204.0,14.99167568792889,4.2487809155265195,11.364483459609952
31,Nonresidential COS,Warehouse,1.0,2,Warehouse,0,1,1,3,0.0,1.0,72579.0,145158.0,15.941898183589917,4.791317747615575,11.885584972353154
65,NonResidential,Office,1.0,2,Office,0,1,1,2,0.0,1.0,56448.0,112896.0,16.14648746185065,5.0656284023902955,11.634231177596929
56,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,2,0.0,1.0,110613.0,110613.0,13.830459452384876,2.089391872533004,11.613801942337991
65,NonResidential,Warehouse,1.0,4,Warehouse,0,1,1,2,0.0,1.0,37470.25,149881.0,14.698204071159108,4.573266636975083,11.917603596827133
65,NonResidential,Warehouse,1.0,3,Warehouse,0,1,1,1,0.0,1.0,32740.0,98220.0,15.682391568844233,4.334541868102138,11.494975320767226
46,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,3,0.0,1.0,84420.0,84420.0,14.862239290355257,3.0378334495726262,11.343571464800565
88,NonResidential,Warehouse,1.0,2,Warehouse,0,1,1,3,0.0,1.0,28438.0,56876.0,14.398684726642077,3.901972669574645,10.948646320470148
85,NonResidential,Warehouse,1.0,2,Warehouse,0,1,1,1,0.0,1.0,30600.0,61200.0,15.407221064340323,5.1908435082428035,11.021918808236205
29,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,111908.0,111908.0,14.257256967230148,3.559340082758951,11.625441320020204
86,NonResidential,Other,3.0,2,Warehouse,0,1,0,6,0.1734,0.8266,54376.5,36251.0,15.107403919600127,3.2722270003651954,11.5968437298837
42,NonResidential,Warehouse,1.0,3,Warehouse,0,1,1,3,0.0,1.0,18753.0,56259.0,14.668466310820063,4.476199804691132,10.937739082043848
10,NonResidential,Other,1.0,6,Other,0,1,1,2,0.0,1.0,23906.5,143439.0,17.059333128981837,6.567656474305226,11.873672108279015
8,NonResidential,Office,1.0,4,Office,0,1,0,3,0.4385,0.5615,50655.75,202623.0,15.998578287224065,4.140910031369422,12.21910732380063
8,NonResidential,Other,1.0,5,Parking,0,1,1,4,0.3609,0.6391,57444.8,287224.0,16.862075052127636,5.753936787316924,12.568021159721566
16,NonResidential,Office,1.0,7,Office,0,1,1,2,0.3501,0.6499,34553.5714,241875.0,15.973717645940303,4.234975691961846,12.396180477124561
42,NonResidential,Office,1.0,5,Office,0,1,1,2,0.1819,0.8181,20586.0,102930.0,15.373823582882222,4.19010918420648,11.541814139813933
114,NonResidential,Office,1.0,3,Office,0,1,1,3,0.0,1.0,25631.0,76893.0,16.30288092031853,5.565018367611075,11.250183129042728
41,NonResidential,Office,1.0,8,Office,0,1,1,2,0.1575,0.8425,18750.0,150000.0,16.050183873450052,4.795211865797184,11.918397239722838
63,NonResidential,Office,1.0,7,Office,0,1,1,1,0.0,1.0,39194.5714,274362.0,16.621325560185117,5.002737521969115,12.522207326092039
33,NonResidential,Office,1.0,15,Office,0,1,1,2,0.3076,0.6924,25200.1333,378002.0,16.69195212865263,5.512743027242523,12.842657411078168
53,NonResidential,Office,1.0,11,Office,1,1,1,5,0.0,1.0,15365.4545,169020.0,16.25616006639302,5.851109929135334,12.037778246540562
35,NonResidential,Other,1.0,33,Industrial,0,1,1,2,0.0,1.0,13012.2727,429405.0,19.431125383769746,7.561548137463526,12.970158137314758
31,NonResidential,Office,1.0,2,Office,0,1,1,2,0.1636,0.8364,976110.0,1952220.0,18.34743929933212,6.783959201168626,14.484478256759704
35,NonResidential,Office,1.0,19,Office,0,1,0,3,0.2341,0.7659,20185.0,383515.0,16.5804885166777,4.715816706075155,12.857136619910024
91,NonResidential,Hospital,1.0,18,Hospital,1,1,1,3,0.0793,0.9207,20218.5556,363934.0,16.911292353785132,6.368667345498175,12.80473055924453
87,NonResidential,Retail,1.0,4,Retail,0,1,1,1,0.0,1.0,19730.0,78920.0,15.932207842642024,4.70817793606232,11.276202631115575
37,NonResidential,Office,1.0,7,Office,0,1,1,2,0.6646,0.3354,18734.7143,131143.0,15.459788738009022,4.7019338544204,11.784051235106292
17,NonResidential,Other,1.0,2,Other,0,1,0,4,0.0,1.0,473993.5,947987.0,17.655198563209996,5.784594117392615,13.762097122929195
108,NonResidential,Other,1.0,4,Office,0,1,1,5,0.0,1.0,13880.0,55520.0,15.120313709713392,5.023090735363602,10.924516606545858
76,NonResidential,Retail,1.0,3,Retail,0,1,1,1,0.0,1.0,27706.0,83118.0,14.70879567846098,3.361069590571376,11.328028594901893
92,NonResidential,Retail,1.0,3,Retail,0,1,1,1,0.0,1.0,25851.6667,77555.0,15.869917136270896,4.014579593753238,11.258755535050895
107,NonResidential,Office,1.0,6,Office,0,1,0,2,0.0,1.0,8536.3333,51218.0,14.87543139339636,3.050220458838061,10.843865835939344
46,NonResidential,Office,1.0,29,Office,0,1,1,4,0.0,1.0,16868.3448,489182.0,17.409490945255364,6.057696945325412,13.100491931578091
87,NonResidential,Office,1.0,27,Office,1,1,1,3,0.0615,0.9385,8021.1481,216571.0,16.60336386880796,6.462592544015427,12.285678334648088
95,NonResidential,Office,1.0,13,Office,0,1,0,2,0.0,1.0,14551.9231,189175.0,16.761864386845783,4.895673275626574,12.150433077659494
18,NonResidential,Office,1.0,13,Office,0,1,0,2,0.2535,0.7465,22600.2308,293803.0,16.653075771824803,4.787741711537254,12.590668157333115
106,NonResidential,Office,1.0,7,Office,0,1,1,3,0.0,1.0,17479.4286,122356.0,15.338316257880447,3.756538102587751,11.714698280147994
95,NonResidential,Office,1.0,3,Office,0,1,0,1,0.0,1.0,17432.6667,52298.0,14.49286169787955,2.6892071133007303,10.864732529411326
105,NonResidential,Office,1.0,17,Office,1,1,0,4,0.0,1.0,6861.1765,116640.0,15.726321369319031,5.136151315957647,11.666856120593938
35,NonResidential,Office,1.0,42,Office,0,1,0,5,0.161,0.839,29739.4048,1249055.0,17.452589036210643,5.5826688989033615,14.037898623971312
28,NonResidential,Hospital,1.0,5,Hospital,0,1,1,2,0.5273,0.4727,37667.8,188339.0,15.958348758167132,4.504354880749275,12.146004119064054
106,NonResidential,Office,1.0,6,Office,0,1,1,2,0.1442,0.8558,15833.3333,95000.0,15.214899065343156,3.4790839203192268,11.461642696843066
45,NonResidential,Office,1.0,9,Office,1,1,0,1,0.0,1.0,24984.1111,224857.0,16.541563859688605,5.970419648512232,12.323224370840999
18,NonResidential,Office,1.0,8,Office,0,1,0,2,0.2796,0.7204,55782.625,446261.0,16.42323561867522,4.560068212075671,13.008661502470739
77,NonResidential,Other,1.0,2,Other,0,1,1,1,0.0,1.0,29246.0,58492.0,14.282022786858906,3.961955374176355,10.976662367940685
109,NonResidential,Office,1.0,6,Office,0,1,0,2,0.0,1.0,10395.0,62370.0,15.286381793408856,3.4452142670789296,11.040855702741002
72,Nonresidential COS,Other,1.0,4,Other,0,1,1,2,0.0,1.0,24780.5,99122.0,16.487534814534328,5.195453731088797,11.504116782188833
31,NonResidential,Other,1.0,1,Other,0,1,1,3,0.0,1.0,66133.0,66133.0,15.663179313975592,4.510199948396864,11.09943826575915
64,NonResidential,Warehouse,1.0,2,Warehouse,0,1,1,4,0.0,1.0,57834.0,115668.0,15.07813665407649,4.720550337028165,11.65848794296808
46,NonResidential,Other,1.0,1,Other,0,1,0,1,0.0,1.0,141686.0,141686.0,15.713600921880097,3.8611506750543896,11.861375678350848
66,NonResidential,Office,1.0,1,Office,0,1,1,2,0.0,1.0,93610.0,93610.0,15.645841170446397,5.03226631422255,11.44690317692811
50,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,1,0.0,1.0,115620.0,115620.0,14.484291913158087,2.681706225762608,11.658072879621725
41,NonResidential,Office,1.0,5,Office,0,1,0,2,0.0,1.0,47629.6,238148.0,16.192799238555086,4.332311042427949,12.380651807185968
47,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,1,0.0,1.0,71718.0,71718.0,11.930024613749138,0.7227059828014898,11.18051098450976
47,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,2,0.0,1.0,55450.0,55450.0,15.284697178311173,4.887638691386985,10.923255026881002
37,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,54880.0,54880.0,14.832044011902783,4.505681287487349,10.9129224838081
14,NonResidential,Other,1.0,6,Parking,0,1,1,4,0.7551,0.2449,60233.0,361398.0,16.003304584893616,4.795129169911258,12.797737890119281
53,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,50785.0,50785.0,15.822248333439278,5.280306133746185,10.835376005033337
87,NonResidential,Office,1.0,3,Office,0,1,1,1,0.0,1.0,28375.3333,85126.0,17.451825093730037,5.1187719527008335,11.351899538036314
16,NonResidential,Other,1.0,5,Parking,0,1,1,4,0.0654,0.9346,60651.0,303255.0,16.220394173496327,4.606569206901798,12.622332612265962
30,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,3,0.0,1.0,411584.0,411584.0,16.52964753036555,6.1233477071431475,12.927770839129275
114,NonResidential,Other,1.0,4,Warehouse,0,1,1,3,0.0,1.0,18330.0,73320.0,13.947582792785653,3.4065165431397553,11.20260234070406
8,NonResidential,Office,1.0,4,Office,0,1,0,2,0.4128,0.5872,60671.5,242686.0,16.085983531775664,4.226979720014808,12.399527826209217
70,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,1,0.0,1.0,179413.0,179413.0,15.056647346441077,3.223664341599998,12.097451263466159
99,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,4,0.0,1.0,65288.0,65288.0,13.314589368783713,1.6524974018945473,11.086578847782176
50,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,2,0.0,1.0,170632.0,170632.0,13.308421278694995,1.6486586255873816,12.047270330269113
22,NonResidential,Office,1.0,10,Office,0,1,1,2,0.0,1.0,38151.1,381511.0,16.250020791750792,4.673949701382917,12.851897583995706
7,NonResidential,Office,1.0,17,Office,0,1,0,2,0.3342,0.6658,24309.6471,413264.0,16.427867585929576,4.564660642649882,12.93184431266518
7,NonResidential,Other,1.0,6,Office,0,1,1,4,0.4436,0.5564,20400.0,122400.0,15.397690833443905,4.386889790339869,11.715057818961629
60,NonResidential,Retail,1.0,2,Retail,0,1,1,4,0.0,1.0,46901.5,93803.0,15.51175706849642,4.713217090071225,11.448962778008331
50,NonResidential,Warehouse,1.0,2,Warehouse,0,1,0,2,0.0,1.0,61500.0,123000.0,14.915545833705874,3.088311454847084,11.719947764402807
38,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,2,0.0,1.0,60448.0,60448.0,13.866437247660535,3.3407394126250414,11.00955531330892
22,NonResidential,Hospital,7.0,14,Hospital,1,1,1,2,0.0,1.0,126140.7143,252281.4286,19.49094305275867,9.418017736032445,14.384211238720159
88,NonResidential,Other,3.0,4,Other,0,1,1,1,0.0,1.0,15650.0,20866.6667,16.226711731509283,6.008911460711703,11.044536531401494
12,NonResidential,Other,1.0,4,Other,0,1,1,3,0.2792,0.7208,19353.0,77412.0,14.792101529636941,3.084200921541599,11.256910004130674
26,NonResidential,Hospital,1.0,5,Hospital,0,1,1,2,0.5499,0.4501,57883.8,289419.0,16.359581076914342,4.901564199041894,12.575634199291983
29,NonResidential,Other,1.0,5,Office,0,1,0,1,0.0,1.0,18053.2,90266.0,15.866029661754814,4.01060056878914,11.410527224107515
13,NonResidential,Residential,1.0,6,Residential,0,1,1,2,0.3322,0.6678,25090.8333,150545.0,16.411514387244008,6.119769807260906,11.922023964310814
17,NonResidential,Other,1.0,5,Other,0,1,1,2,0.0,1.0,28343.6,141718.0,16.764422413624274,5.835483025645868,11.861601502787423
8,NonResidential,Residential,1.0,5,Residential,0,1,1,4,0.1902,0.8098,22371.2,111856.0,16.0609415312268,5.634682454571901,11.624976548777603
28,NonResidential,Warehouse,1.0,4,Warehouse,0,1,0,1,0.0,1.0,33207.0,132828.0,13.895919929177749,2.1471001901536506,11.796817865678426
46,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,2,0.0,1.0,70400.0,70400.0,16.451903627302254,5.652524267372389,11.161962746590705
21,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,101830.0,101830.0,16.186969168656223,5.6907647775748975,11.531069855406209
42,NonResidential,Other,2.0,4,University,0,1,1,1,0.0,1.0,28500.0,57000.0,15.840374602371844,4.706914169871375,11.643962499267984
14,SPS-District K-12,Other,1.0,3,Other,0,1,1,9,0.0,1.0,112687.6667,338063.0,16.844480441166542,5.562564472740664,12.7309905056533
51,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,2,0.0,1.0,152365.0,152365.0,13.882936235377205,2.644044871126298,11.934040800231958
106,NonResidential,Hospital,1.0,6,Hospital,0,1,1,2,0.0,1.0,53491.0,320946.0,17.053063239431648,5.251487779191239,12.679031279445887
58,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,74178.0,74178.0,15.502313503992633,4.911330479685645,11.21423637023015
29,NonResidential,Warehouse,1.0,4,Warehouse,0,1,1,1,0.0,1.0,20090.0,80360.0,13.438662334117597,2.848970892158587,11.294284262853436
20,NonResidential,Retail,1.0,3,Retail,0,1,1,1,0.0,1.0,39730.0,119190.0,16.12581904858978,5.5909869805108565,11.68848252740716
8,NonResidential,Other,1.0,2,Other,0,1,0,2,0.0,1.0,25928.0,51856.0,14.477483907200007,2.6748380668960965,10.856245209366943
95,NonResidential,Other,1.0,3,Office,0,1,0,4,0.1903,0.8097,22046.0,66138.0,15.77151239987502,3.9178062501838733,11.09951386697788
59,NonResidential,Public,1.0,2,Public,0,1,1,1,0.0,1.0,11110.0,22220.0,13.564940325914932,3.488597571942989,10.008793066681399
54,NonResidential,Other,1.0,1,Office,0,1,1,3,0.0,1.0,44700.0,44700.0,14.529818266984579,3.4506222649896783,10.707751151716078
40,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,1,0.0,1.0,44100.0,44100.0,14.297268196768211,2.5087859235779435,10.694237736914808
51,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,27800.0,27800.0,14.017787712379995,3.234355395716587,10.2328272702548
15,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,1,0.0,1.0,46340.0,46340.0,14.757081047098799,2.9375733593804587,10.743782377382361
22,Campus,Other,3.0,1,Industrial,0,1,1,1,0.0,1.0,22800.0,7600.0,14.613962577632135,4.629862798578463,10.034559673629849
106,NonResidential,Office,1.0,3,Office,0,1,1,1,0.0,1.0,12820.0,38460.0,14.483706145526318,3.6114583071453517,10.557400019844792
94,NonResidential,Public,1.0,2,Public,0,1,1,1,0.0,1.0,10511.0,21022.0,13.759201151262806,3.8031005982039594,9.953372355465126
49,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,48001.0,48001.0,14.57802135794233,4.471181545984774,10.778997955688663
37,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,2,0.0,1.0,26380.0,26380.0,13.140448844950713,1.5216989981260935,10.18039933305852
47,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,2,0.0,1.0,37351.0,37351.0,14.755307931150115,4.357221515754911,10.528141736650772
35,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,1,0.0,1.0,30375.0,30375.0,12.75381157483465,1.2267122912954254,10.321408101911638
37,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,2,0.0,1.0,30004.0,30004.0,12.81934429194231,1.2725655957915476,10.309119313423613
88,NonResidential,Other,1.0,3,Other,0,1,1,4,0.0,1.0,13323.6667,39971.0,16.20977269345019,6.033254073418364,10.59593448798168
102,NonResidential,Public,1.0,2,Public,0,1,1,1,0.0,1.0,16794.5,33589.0,13.141846713536431,3.132446096869813,10.421983682606339
37,NonResidential,Office,1.0,3,Office,0,1,1,1,0.0,1.0,14500.0,43500.0,14.985089491169335,3.1633631149379418,10.680539205318292
38,NonResidential,Office,1.0,2,Office,0,1,1,1,0.0,1.0,14246.0,28492.0,14.455415111210657,3.6579046498145056,10.257413722053586
53,NonResidential,Office,1.0,3,Office,0,1,0,6,0.0,1.0,7441.6667,22325.0,14.15292297747501,2.3767644911682972,10.013507197574677
99,NonResidential,Retail,1.0,2,Retail,0,1,1,1,0.0,1.0,73772.5,147545.0,15.730530036806956,5.140200498450899,11.901895270549195
93,Nonresidential COS,Other,1.0,2,Other,0,1,0,2,0.0,1.0,10731.0,21462.0,13.923813802046517,2.1713368063840917,9.974085801381666
99,NonResidential,Other,1.0,2,Public,0,1,1,1,0.0,1.0,14036.0,28072.0,14.124849420043299,4.166355098198373,10.242563539313103
61,NonResidential,Restaurant,1.0,2,Restaurant,0,1,1,1,0.0,1.0,15510.0,31020.0,15.41894005597386,5.340418542566672,10.3424196734772
99,NonResidential,Office,1.0,2,Office,0,1,1,2,0.0,1.0,10800.0,21600.0,14.308162104126875,3.4216533902295376,9.980494888896912
42,NonResidential,Office,1.0,5,Office,0,1,1,2,0.2154,0.7846,12365.0,61825.0,15.279431016798911,4.95723451736914,11.032079266945424
74,NonResidential,Office,1.0,3,Office,0,1,0,1,0.0,1.0,21543.3333,64630.0,14.15788844684215,2.3813962734183356,11.07644945082794
68,NonResidential,Public,1.0,2,Public,0,1,1,1,0.0,1.0,10460.0,20920.0,13.856757582146624,3.7656089869726097,9.948508718183648
90,NonResidential,Public,1.0,2,Public,0,1,1,1,0.0,1.0,11064.0,22128.0,13.318523221073114,3.267284964075888,10.004644244495866
48,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,48139.0,48139.0,13.66380079251352,3.219675505038765,10.781868711337063
67,NonResidential,Public,1.0,2,Public,0,1,1,2,0.0,1.0,10682.0,21364.0,13.7805589292886,3.8022081394209395,9.969509348078125
24,NonResidential,Other,1.0,2,University,0,1,1,1,0.0,1.0,14461.5,28923.0,12.99296720877201,2.7893229212309465,10.272426979294842
88,NonResidential,Other,1.0,3,University,0,1,1,1,0.0,1.0,7200.0,21600.0,12.687697258506624,1.9919755158985601,9.980494888896912
20,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,25735.0,25735.0,13.971997827267511,2.9496883350525844,10.155646068918863
60,NonResidential,Retail,1.0,2,Retail,0,1,1,2,0.0,1.0,12931.0,25862.0,15.384433303801618,5.044521290095393,10.160568654878034
13,NonResidential,Retail,1.0,2,Retail,0,1,1,2,0.0,1.0,24982.5,49965.0,15.032560704882684,3.4190372997904865,10.819098053105419
87,NonResidential,Office,1.0,2,Office,1,1,0,1,0.0,1.0,10014.0,20028.0,13.145686088791292,2.7226103524335397,9.904936502301233
116,NonResidential,Office,1.0,7,Office,0,1,1,2,0.0,1.0,3374.5714,23622.0,13.2213187236914,2.3933394562625097,10.069976092693759
114,NonResidential,Office,1.0,3,Office,0,1,0,2,0.0,1.0,7854.3333,23563.0,13.691305468430494,1.9685099809725544,10.067475402641579
113,NonResidential,Other,1.0,3,Office,0,1,1,3,0.0,1.0,9533.3333,28600.0,13.876345628223117,3.228826155721369,10.261196961231647
38,NonResidential,Other,1.0,2,Retail,0,1,0,3,0.3212,0.6788,19269.5,38539.0,14.597592868081396,2.787477334733532,10.559451941968357
110,NonResidential,Office,1.0,5,Office,0,1,0,1,0.0,1.0,5368.0,26840.0,14.503287343734216,2.6993457604720636,10.197685848215706
110,NonResidential,Retail,1.0,2,Retail,0,1,0,2,0.0,1.0,23400.0,46800.0,14.03479748204276,2.2700619012884857,10.753659849198824
37,NonResidential,Office,1.0,3,Office,0,1,1,2,0.4163,0.5837,21330.0,63990.0,14.541779844844612,2.749192144433385,11.066497727453186
108,NonResidential,Office,1.0,3,Office,0,1,1,3,0.0,1.0,9600.0,28800.0,14.111924459296139,3.39484390768998,10.268165387743457
62,NonResidential,Office,1.0,3,Office,0,1,1,2,0.1481,0.8519,11184.0,33552.0,14.34436061132254,4.117898315175836,10.42088155718015
85,NonResidential,Retail,1.0,2,Retail,0,1,1,1,0.0,1.0,13135.0,26270.0,14.260492969853756,3.549042508926137,10.176220948190334
90,NonResidential,Office,1.0,3,Office,0,1,0,2,0.1357,0.8643,19206.6667,57620.0,14.684875706257689,2.869601996409779,10.961642363572961
62,NonResidential,Other,1.0,2,Other,0,1,0,3,0.2119,0.7881,14348.0,28696.0,12.944072486551523,1.366091653802371,10.264547866667387
26,NonResidential,Residential,1.0,5,Residential,0,1,1,1,0.0,1.0,11560.0,57800.0,14.708764468169358,4.209011637200227,10.96476135554887
61,NonResidential,Other,1.0,2,Office,0,1,0,1,0.0,1.0,15945.0,31890.0,14.435132625321366,2.6354795082673745,10.37007911730487
91,NonResidential,Office,1.0,2,Office,1,1,0,2,0.3098,0.6902,22049.0,44098.0,14.181473286588254,3.7539647007698704,10.694192385440877
93,NonResidential,Restaurant,1.0,3,Restaurant,0,1,1,1,0.0,1.0,7460.3333,22381.0,15.077648727317936,4.850310035174197,10.016012343377973
90,NonResidential,Industrial,1.0,4,Industrial,0,1,1,2,0.0,1.0,12312.25,49249.0,17.320118886108663,7.1444545351588395,10.804664646600235
91,NonResidential,Retail,1.0,1,Retail,0,1,1,2,0.0509,0.9491,24825.0,24825.0,12.993443265151026,2.4965057856313524,10.119646770075892
64,NonResidential,Hospital,1.0,4,Hospital,0,1,1,1,0.0,1.0,6667.5,26670.0,14.255833912747264,2.4706386779902956,10.191332111786215
94,Nonresidential COS,Other,1.0,2,Other,0,1,1,1,0.0,1.0,18870.0,37740.0,14.945583722279993,4.466137977292534,10.538502315656821
49,NonResidential,Residential,1.0,4,Residential,0,1,1,1,0.0,1.0,11104.0,44416.0,14.797426189403204,4.3010876921685295,10.701377558022253
10,NonResidential,Other,1.0,2,Public,0,1,1,4,0.6767,0.3233,16896.0,33792.0,14.750760031751714,3.4531571205928664,10.428008959431105
88,NonResidential,Public,1.0,2,Public,0,1,1,1,0.0,1.0,22995.5,45991.0,13.951383862421304,3.6224725219163374,10.736222747303128
95,NonResidential,Other,1.0,3,Residential,0,1,0,1,0.0,1.0,7166.3333,21499.0,13.313201378616583,1.6524974018945473,9.975808214115753
27,NonResidential,Office,1.0,2,Office,0,1,1,1,0.0,1.0,10192.0,20384.0,14.39832509061163,2.702032128776647,9.922554615253354
