Age,BuildingType,PrimaryPropertyType,NumberofBuildings,NumberofFloors,LargestPropertyUseType,SteamUse(kBtu)_Usage,Electricity(kBtu)_Usage,NaturalGas(kBtu)_Usage,TotalUseTypeNumber,RateParking,RateBuilding,RatePerFloors,RatePerBuildings,log_SiteEnergyUse(kBtu),log_TotalGHGEmissions,log_PropertyGFATotal
6,NonResidential,Office,1.0,12,Office,0,1,1,3,0.0,1.0,47610.75,571329.0,17.49448837728937,6.427329527607229,13.255722255149015
54,Nonresidential COS,Other,1.0,2,Other,1,1,0,1,0.0,1.0,26000.0,52000.0,14.818481612035468,4.6330771392411,10.859018228147887
88,Nonresidential COS,Other,1.0,1,Other,0,1,0,1,0.0,1.0,60696.0,60696.0,13.683057797692378,1.9615022438151495,11.013649552432474
88,Nonresidential COS,Other,1.0,2,Other,1,1,0,1,0.0,1.0,131024.0,262048.0,16.84676676808224,6.197929785369379,12.476286788157395
30,NonResidential,Office,1.0,2,Office,0,1,0,5,0.0355,0.9645,33120.0,66240.0,15.242540649883813,3.402529826895934,11.101054885563546
6,NonResidential,Office,1.0,6,Office,0,1,1,3,0.3299,0.6701,153433.0,920598.0,17.417388953217166,6.514846015317764,13.732779824116589
46,NonResidential,Office,1.0,4,Office,0,1,1,3,0.3402,0.6598,19053.25,76213.0,15.061454184654979,3.907211448430924,11.241300451833114
14,NonResidential,Residential,1.0,6,Residential,0,1,1,2,0.3811,0.6189,16151.6667,96910.0,15.455588144597986,5.031352535684977,11.4815483105279
93,NonResidential,School,1.0,3,School,0,1,1,1,0.0,1.0,22581.0,67743.0,14.788892145840842,4.380149874661021,11.123491173934593
108,NonResidential,School,1.0,6,School,0,1,1,1,0.0,1.0,32350.6667,194104.0,15.643255142851357,5.498110404253996,12.176154528742888
13,NonResidential,Office,1.0,3,Office,0,1,0,2,0.3596,0.6404,33144.3333,99433.0,15.40428871987701,3.559340082758951,11.507249386471992
75,NonResidential,Other,1.0,4,Other,0,1,0,1,0.0,1.0,14130.25,56521.0,15.665166696232612,3.8137484361598055,10.94238522187658
57,SPS-District K-12,School,1.0,1,School,0,1,1,1,0.0,1.0,245587.0,245587.0,16.280697632007218,6.09746735645105,12.411410614126586
14,NonResidential,Residential,1.0,3,Residential,0,1,1,1,0.0,1.0,23046.0,69138.0,14.991842550528414,4.500031867864786,11.14387424996344
112,NonResidential,Residential,1.0,5,Residential,0,1,1,2,0.0,1.0,38196.0,190980.0,15.688234771198152,4.965568190726947,12.159929225640868
18,Nonresidential COS,Other,1.0,6,Other,1,1,1,1,0.0,1.0,47350.0,284100.0,16.499370725162287,6.064064239522326,12.557085087723449
62,NonResidential,Hospital,4.0,5,Hospital,0,1,1,2,0.0,1.0,57066.6,71333.25,18.03635162381981,7.596643402621699,12.561415702901638
10,Nonresidential COS,Other,1.0,4,Other,0,1,1,2,0.0,1.0,15289.0,61156.0,16.052316360384616,5.18037806868335,11.02119960717217
20,NonResidential,Residential,1.0,4,Residential,0,1,1,2,0.0875,0.9125,40555.5,162222.0,15.888300275232263,5.435467204695271,11.996727210857355
101,NonResidential,Other,1.0,3,University,0,1,1,1,0.0,1.0,21110.0,63330.0,14.933846712657042,4.321878461837604,11.056130219690564
46,Campus,Other,27.0,2,University,0,1,1,1,0.0,1.0,220535.5,16335.963,17.46100601447069,6.765304224182961,12.996963406408776
14,NonResidential,Office,1.0,2,Office,0,1,1,2,0.0,1.0,48150.0,96300.0,16.607891858430136,5.407261453537216,11.475233981948293
66,Nonresidential COS,Other,1.0,1,Other,0,1,1,4,0.0,1.0,67356.0,67356.0,15.82715206555082,5.3234001469155,11.117762111107313
58,NonResidential,Office,1.0,1,Office,0,1,1,2,0.0,1.0,54765.0,54765.0,15.263222285419143,4.130515758526928,10.910824842428626
7,NonResidential,Other,1.0,5,Residential,0,1,1,3,0.0,1.0,17964.2,89821.0,14.483387878108376,4.6196646321385435,11.405585213149562
36,NonResidential,Other,1.0,2,University,0,1,1,1,0.0,1.0,26305.5,52611.0,15.230604331120192,4.656433479925633,10.87069950958867
45,NonResidential,Other,3.0,6,Other,1,1,1,2,0.0,1.0,41830.1667,83660.3333,16.38596022250331,6.048293740094025,12.433136502395
9,NonResidential,Office,1.0,3,Office,0,1,1,3,0.0,1.0,21338.3333,64015.0,14.99172527154413,3.923556241241819,11.066888331097017
65,NonResidential,Retail,1.0,1,Retail,0,1,1,2,0.0,1.0,530039.0,530039.0,17.13755776408312,6.585440353035913,13.180707754378572
52,NonResidential,Other,1.0,3,Hospital,0,1,1,1,0.0,1.0,18074.6667,54224.0,15.79860349336159,5.4490192489615294,10.900897335695076
51,NonResidential,Retail,1.0,4,Retail,0,1,1,1,0.0,1.0,31085.5,124342.0,15.986388764338583,4.209160236650682,11.7307991549249
63,NonResidential,Hospital,6.0,10,Hospital,0,1,1,1,0.0,1.0,87900.0,146500.0,19.352185020745686,9.005346121182038,13.686541314323094
20,NonResidential,Other,1.0,3,Office,0,1,1,3,0.0,1.0,18480.6667,55442.0,14.975916745362364,4.439115601658009,10.923110744953865
106,NonResidential,Other,1.0,5,Other,0,1,1,1,0.0,1.0,16974.0,84870.0,14.138746382082335,3.9533568689211234,11.34888773562083
112,NonResidential,Warehouse,1.0,4,Warehouse,0,1,1,1,0.0,1.0,28574.25,114297.0,14.55749492539759,4.254761283628006,11.646564351817041
79,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,234144.0,234144.0,15.72421093057707,5.698535399469211,12.363695860550678
50,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,64984.0,64984.0,14.895380721804624,3.604954219176175,11.081911753015689
51,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,67745.0,67745.0,16.037993874873614,5.913881312449602,11.123520696408578
6,SPS-District K-12,School,1.0,2,School,0,1,1,1,0.0,1.0,183942.0,367884.0,16.322302387252705,5.61258051122973,12.815525668312768
43,NonResidential,Other,1.0,3,Other,0,1,1,1,0.0,1.0,18666.6667,56000.0,14.431377856563758,4.099995233730915,10.933124826700707
47,NonResidential,Other,1.0,2,Other,0,1,1,1,0.0,1.0,26044.0,52088.0,14.135795701931139,3.911822985425479,10.860709073012247
116,Nonresidential COS,Other,1.0,1,Other,0,1,1,1,0.0,1.0,50000.0,50000.0,15.836900227966021,5.423583445380434,10.819798284210286
90,Nonresidential COS,Warehouse,1.0,2,Warehouse,0,1,0,4,0.0,1.0,25146.0,50292.0,12.97264380321185,1.3862943611198906,10.825621181393542
59,Nonresidential COS,Office,1.0,2,Office,0,1,1,5,0.0,1.0,45565.0,91130.0,16.063888536570126,5.174849452547792,11.420053310764763
48,NonResidential,Residential,1.0,4,Residential,0,1,1,1,0.0,1.0,16223.25,64893.0,15.63970914336364,5.343577497952901,11.080510448495465
116,NonResidential,Office,1.0,3,Office,0,1,1,3,0.0,1.0,14852.6667,44558.0,14.332518978787965,3.3765631007037946,10.704569432697642
92,Nonresidential COS,Warehouse,1.0,2,Warehouse,0,1,1,4,0.0,1.0,89580.5,179161.0,16.06008606320791,4.57913417143725,12.096045703465
51,Nonresidential COS,Warehouse,1.0,2,Warehouse,0,1,0,4,0.0,1.0,29320.0,58640.0,15.183818185804016,3.34603697048488,10.979189389621132
17,NonResidential,Other,1.0,3,Other,0,1,1,1,0.0,1.0,390709.0,1172127.0,17.88899411800904,7.128936906982807,13.974331458172633
11,NonResidential,Residential,1.0,9,Residential,0,1,1,3,0.0865,0.9135,18716.5556,168449.0,16.359219778484473,5.964530048367777,12.0343942488347
100,NonResidential,Warehouse,1.0,4,Warehouse,0,1,0,1,0.0,1.0,19900.0,79600.0,14.695719397429222,2.87976009730157,11.284781934567633
36,Campus,Office,14.0,2,Office,0,1,1,4,0.0953,0.9047,167184.0,23883.4286,17.794569307621288,6.619473026458324,12.72000045254618
8,NonResidential,Other,1.0,6,Parking,0,1,1,5,0.7982,0.2018,69974.6667,419848.0,16.02761980689978,5.096262380063693,12.947650401805848
14,NonResidential,Other,1.0,4,Residential,0,1,1,5,0.0,1.0,27696.25,110785.0,16.172385994703347,4.542336876816522,11.615355691521394
17,NonResidential,Residential,1.0,2,Residential,0,1,1,5,0.0,1.0,467146.0,934292.0,17.990625024926484,7.402122198304855,13.7475453725128
26,NonResidential,Hospital,6.0,5,Hospital,0,1,1,2,0.0,1.0,119503.8,99586.5,18.781309038094193,8.498485284694775,13.300543035030948
25,NonResidential,Warehouse,1.0,3,Warehouse,0,1,1,2,0.1082,0.8918,25132.3333,75397.0,13.216185860226977,2.363680192353857,11.230536028445309
